ProductID,ProductCategory,ProductBrand,ProductName,ProductPrice,MinDiscount,MaxDiscount,Rating,Features,StockAvailability,WarrantyPeriod,Color,Description
SMA-AMA-7,Smartwatch,Amazfit,Amazfit Smartwatch Model-402,145213,8,50,4.4,"Waterproof, Fitness Tracking, Heart Rate Monitor",Out of Stock,1 Year,Blue,"Category: Smartwatch, Brand: Amazfit, Name: Amazfit Smartwatch Model-402, Price: ₹145213, Discount Range: 8% - 50%, Rating: 4.4, Features: Waterproof, Fitness Tracking, Heart Rate Monitor, Warranty: 1 Year Years, Color: Blue"
SMA-FOS-6,Smartwatch,Fossil,Fossil Smartwatch Model-308,16912,10,35,3.8,"Customizable Watch Faces, Fitness Tracking, Waterproof",In Stock,2 Years,Red,"Category: Smartwatch, Brand: Fossil, Name: Fossil Smartwatch Model-308, Price: ₹16912, Discount Range: 10% - 35%, Rating: 3.8, Features: Customizable Watch Faces, Fitness Tracking, Waterproof, Warranty: 2 Years Years, Color: Red"
HEA-BOA-3,Headphones,Boat,Boat Headphones Model-606,102087,7,21,4.2,"Foldable, Wireless, Noise Cancellation",Out of Stock,2 Years,Red,"Category: Headphones, Brand: Boat, Name: Boat Headphones Model-606, Price: ₹102087, Discount Range: 7% - 21%, Rating: 4.2, Features: Foldable, Wireless, Noise Cancellation, Warranty: 2 Years Years, Color: Red"
SMA-GAR-8,Smartwatch,Garmin,Garmin Smartwatch Model-816,145654,7,41,4.9,"Fitness Tracking, Customizable Watch Faces, Waterproof",In Stock,1 Year,Silver,"Category: Smartwatch, Brand: Garmin, Name: Garmin Smartwatch Model-816, Price: ₹145654, Discount Range: 7% - 41%, Rating: 4.9, Features: Fitness Tracking, Customizable Watch Faces, Waterproof, Warranty: 1 Year Years, Color: Silver"
CAM-PAN-10,Camera,Panasonic,Panasonic Camera Model-243,78401,10,37,4.1,"Touchscreen, Image Stabilization, High ISO Sensitivity",In Stock,3 Years,Silver,"Category: Camera, Brand: Panasonic, Name: Panasonic Camera Model-243, Price: ₹78401, Discount Range: 10% - 37%, Rating: 4.1, Features: Touchscreen, Image Stabilization, High ISO Sensitivity, Warranty: 3 Years Years, Color: Silver"
SMA-XIA-4,Smartwatch,Xiaomi,Xiaomi Smartwatch Model-618,77799,12,30,3.6,"Fitness Tracking, Customizable Watch Faces, GPS",Out of Stock,2 Years,White,"Category: Smartwatch, Brand: Xiaomi, Name: Xiaomi Smartwatch Model-618, Price: ₹77799, Discount Range: 12% - 30%, Rating: 3.6, Features: Fitness Tracking, Customizable Watch Faces, GPS, Warranty: 2 Years Years, Color: White"
SMA-FOS-8,Smartwatch,Fossil,Fossil Smartwatch Model-452,45697,13,46,3.6,"Customizable Watch Faces, Fitness Tracking, Waterproof",Out of Stock,3 Years,Blue,"Category: Smartwatch, Brand: Fossil, Name: Fossil Smartwatch Model-452, Price: ₹45697, Discount Range: 13% - 46%, Rating: 3.6, Features: Customizable Watch Faces, Fitness Tracking, Waterproof, Warranty: 3 Years Years, Color: Blue"
LAP-ASU-10,Laptop,Asus,Asus Laptop Model-586,69615,7,41,4.3,"High-Performance GPU, SSD Storage, Lightweight",In Stock,1 Year,Red,"Category: Laptop, Brand: Asus, Name: Asus Laptop Model-586, Price: ₹69615, Discount Range: 7% - 41%, Rating: 4.3, Features: High-Performance GPU, SSD Storage, Lightweight, Warranty: 1 Year Years, Color: Red"
HEA-ANK-6,Headphones,Anker,Anker Headphones Model-219,11448,10,42,4.0,"Bass Boost, Foldable, Waterproof",In Stock,3 Years,Silver,"Category: Headphones, Brand: Anker, Name: Anker Headphones Model-219, Price: ₹11448, Discount Range: 10% - 42%, Rating: 4.0, Features: Bass Boost, Foldable, Waterproof, Warranty: 3 Years Years, Color: Silver"
SMA-XIA-2,Smartwatch,Xiaomi,Xiaomi Smartwatch Model-627,141226,20,45,3.6,"Waterproof, GPS, Heart Rate Monitor",In Stock,1 Year,White,"Category: Smartwatch, Brand: Xiaomi, Name: Xiaomi Smartwatch Model-627, Price: ₹141226, Discount Range: 20% - 45%, Rating: 3.6, Features: Waterproof, GPS, Heart Rate Monitor, Warranty: 1 Year Years, Color: White"
