ProductID,ProductCategory,ProductBrand,ProductName,ProductPrice,MinDiscount,MaxDiscount,Rating,Features,StockAvailability,WarrantyPeriod,Color
SMA-AMA-7,Smartwatch,Amazfit,Amazfit Smartwatch Model-402,145213,8,50,4.4,"Waterproof, Fitness Tracking, Heart Rate Monitor",Out of Stock,1 Year,Blue
SMA-FOS-6,Smartwatch,Fossil,Fossil Smartwatch Model-308,16912,10,35,3.8,"Customizable Watch Faces, Fitness Tracking, Waterproof",In Stock,2 Years,Red
HEA-BOA-3,Headphones,Boat,Boat Headphones Model-606,102087,7,21,4.2,"Foldable, Wireless, Noise Cancellation",Out of Stock,2 Years,Red
SMA-GAR-8,Smartwatch,Garmin,Garmin Smartwatch Model-816,145654,7,41,4.9,"Fitness Tracking, Customizable Watch Faces, Waterproof",In Stock,1 Year,Silver
CAM-PAN-10,Camera,Panasonic,Panasonic Camera Model-243,78401,10,37,4.1,"Touchscreen, Image Stabilization, High ISO Sensitivity",In Stock,3 Years,Silver
SMA-XIA-4,Smartwatch,Xiaomi,Xiaomi Smartwatch Model-618,77799,12,30,3.6,"Fitness Tracking, Customizable Watch Faces, GPS",Out of Stock,2 Years,White
SMA-FOS-8,Smartwatch,Fossil,Fossil Smartwatch Model-452,45697,13,46,3.6,"Customizable Watch Faces, Fitness Tracking, Waterproof",Out of Stock,3 Years,Blue
LAP-ASU-10,Laptop,Asus,Asus Laptop Model-586,69615,7,41,4.3,"High-Performance GPU, SSD Storage, Lightweight",In Stock,1 Year,Red
HEA-ANK-6,Headphones,Anker,Anker Headphones Model-219,11448,10,42,4.0,"Bass Boost, Foldable, Waterproof",In Stock,3 Years,Silver
SMA-XIA-2,Smartwatch,Xiaomi,Xiaomi Smartwatch Model-627,141226,20,45,3.6,"Waterproof, GPS, Heart Rate Monitor",In Stock,1 Year,White
SMA-SAM-1,Smartphone,Samsung,Samsung Smartphone Model-109,11392,17,40,4.6,"Fast Charging, Water Resistant, AMOLED Display",In Stock,3 Years,Silver
LAP-LEN-3,Laptop,Lenovo,Lenovo Laptop Model-922,81259,10,44,4.9,"Touchscreen, Backlit Keyboard, Lightweight",In Stock,2 Years,White
LAP-LEN-4,Laptop,Lenovo,Lenovo Laptop Model-330,140799,12,42,5.0,"SSD Storage, Lightweight, High-Performance GPU",In Stock,2 Years,Silver
TAB-LEN-7,Tablet,Lenovo,Lenovo Tablet Model-340,32731,16,36,3.4,"Detachable Keyboard, 10-inch Display, Stylus Support",Out of Stock,3 Years,Blue
TAB-HUA-8,Tablet,Huawei,Huawei Tablet Model-198,115349,20,29,3.9,"Long Battery Life, 10-inch Display, Quad Speakers",In Stock,3 Years,Red
